icao,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,rh_percent,wind_dir_deg,wind_kts,vis_m,altimeter_hg,conditions,clouds,raw_text,fetched_at_utc,fetched_at_local
CYAM,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,24,22,88,130,3,9999,29.79,NA,FEW  ft; SCT  ft; SCT  ft; BKN  ft,METAR CYAM 010500Z 13003KT 110V200 10SM FEW010 SCT018 SCT150 BKN220 24/22 A2979 RMK CF2SC1AC1CI1 SLP088 DENSITY ALT 2000FT,2026-07-01T05:15:38Z,2026-07-01T01:15:38Z
CYAM,2026-07-01T05:29:00Z,2026-07-01T01:29:00Z,VFR,23,22,94,170,3,9999,29.78,NA,FEW  ft; SCT  ft; BKN  ft,SPECI CYAM 010529Z 17003KT 110V200 10SM FEW010 SCT150 BKN220 23/22 A2978 RMK SC2AC1CI2 SLP085 DENSITY ALT 1900FT,2026-07-01T05:53:24Z,2026-07-01T01:53:24Z
CYAT,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,22,21,94,200,3,14484.1,29.42,NA,FEW  ft,METAR CYAT 010500Z AUTO 20003KT 9SM FEW100 22/21 A2942 RMK SLP965 DENSITY ALT 1400FT,2026-07-01T05:15:38Z,2026-07-01T01:15:38Z
CYBC,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,17,12,72,80,12,14484.1,29.82,NA,SCT  ft,METAR CYBC 010500Z AUTO 08012KT 9SM SCT150 17/12 A2982 RMK RVR MISG SLP099 DENSITY ALT 400FT,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYBK,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,13,9,76,110,2,32186.88,29.98,NA,FEW  ft,METAR CYBK 010500Z 11002KT 20SM FEW220 13/09 A2998 RMK CI2 SLP156,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYBR,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,18,15,82,260,12,14484.1,29.54,NA,FEW  ft; BKN  ft,METAR CYBR 010500Z AUTO 26012G18KT 9SM FEW029 BKN210 18/15 A2954 RMK SLP009 DENSITY ALT 2400FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYCO,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,14,12,87,130,2,24140.16,29.96,NA,BKN  ft; BKN  ft,METAR CYCO 010500Z 13002KT 15SM -RA BKN100 BKN150 14/12 A2996 RMK AC7AC1 AC TR SLP148,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYCO,2026-07-01T05:43:00Z,2026-07-01T01:43:00Z,VFR,14,12,87,120,2,24140.16,29.95,NA,BKN  ft,SPECI CYCO 010543Z 12002KT 15SM BKN110 14/12 A2995 RMK AC5 SLP147,2026-07-01T05:53:38Z,2026-07-01T01:53:38Z
CYEG,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,15,13,87,NA,2,32186.88,29.77,NA,FEW  ft; FEW  ft,METAR CYEG 010500Z VRB02KT 20SM FEW096 FEW120 15/13 A2977 RMK AC1AC1 SLP083 DENSITY ALT 3200FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYER,2026-07-01T05:07:00Z,2026-07-01T01:07:00Z,IFR,8,8,100,60,13,9656.06,29.63,NA,OVC  ft,SPECI CYER 010507Z AUTO 06013G18KT 6SM -RA BR OVC006 08/08 A2963 RMK SLP035,2026-07-01T05:15:38Z,2026-07-01T01:15:38Z
CYER,2026-07-01T05:34:00Z,2026-07-01T01:34:00Z,VFR,8,8,100,60,11,14484.1,29.62,NA,SCT  ft; OVC  ft,SPECI CYER 010534Z AUTO 06011G19KT 9SM -RA SCT006 OVC033 08/08 A2962 RMK SLP032,2026-07-01T05:53:23Z,2026-07-01T01:53:23Z
CYFB,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,MVFR,5,4,93,0,0,48280.32,29.84,NA,BKN  ft,METAR CYFB 010500Z 00000KT 30SM BKN010 05/04 A2984 RMK SC7 SLP108,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYFC,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,18,15,82,190,5,14484.1,29.94,NA,NA,METAR CYFC 010500Z AUTO 19005KT 9SM CLR 18/15 A2994 RMK SLP140 DENSITY ALT 500FT,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYGK,2026-07-01T03:00:00Z,2026-06-30T23:00:00Z,MVFR,24,21,83,10,23,9999,29.95,NA,BKN  ft; OVC  ft,METAR CYGK 010300Z 01023G34KT 310V020 10SM -TSRA BKN020CB OVC100 24/21 A2995 RMK CB6AC2 LAST STFD OBS/ NXT011000Z PRESRR SLP142 DENSITY ALT 1400FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYHU,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,23,21,88,130,4,14484.1,29.83,NA,BKN  ft; BKN  ft; BKN  ft,METAR CYHU 010500Z AUTO 13004KT 9SM BKN031 BKN081 BKN190 23/21 A2983 RMK SLP103 DENSITY ALT 1100FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYHZ,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,18,13,72,260,4,24140.16,30.04,NA,FEW  ft,METAR CYHZ 010500Z 26004KT 15SM FEW290 18/13 A3004 RMK CI2 SLP174 DENSITY ALT 800FT,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYLW,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,19,7,45,190,7,14484.1,29.85,NA,OVC  ft,METAR CYLW 010500Z AUTO 19007G15KT 180V250 9SM OVC086 19/07 A2985 RMK SLP108 DENSITY ALT 2300FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYMM,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,19,9,52,130,5,14484.1,29.72,NA,NA,METAR CYMM 010500Z AUTO 13005KT 9SM CLR 19/09 A2972 RMK SLP069 DENSITY ALT 2200FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYMO,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,METAR CYMO 010500Z AUTO /////KT RMK WIND MISG CLD MISG WX MISG VIS MISG PCPN MISG PRES MISG T MISG DP MISG ICE MISG DENSITY ALT MISG,2026-07-01T05:15:38Z,2026-07-01T01:15:38Z
CYOW,2026-07-01T05:10:00Z,2026-07-01T01:10:00Z,IFR,21,21,100,260,4,9999,29.83,NA,BKN  ft; OVC  ft,SPECI CYOW 010510Z 26004KT 10SM BKN005 OVC210 21/21 A2983 RMK SF6CI2 PRESRR SLP103 DENSITY ALT 1400FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYPL,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,22,11,49,240,10,14484.1,29.58,NA,NA,METAR CYPL 010500Z AUTO 24010G18KT 9SM CLR 22/11 A2958 RMK SLP018 DENSITY ALT 2800FT,2026-07-01T05:15:38Z,2026-07-01T01:15:38Z
CYQA,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,22,19,83,140,4,14484.1,29.9,NA,SCT  ft; BKN  ft,METAR CYQA 010500Z AUTO 14004KT 110V170 9SM SCT038 BKN050 22/19 A2990 RMK SLP122 DENSITY ALT 2000FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYQB,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,19,18,93,NA,2,24140.16,29.84,NA,SCT  ft; BKN  ft; OVC  ft,METAR CYQB 010500Z VRB02KT 15SM SCT050 BKN080 OVC130 19/18 A2984 RMK SC4AC3AC1 HAZY SLP105 DENSITY ALT 900FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYQF,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,12,11,93,230,4,14484.1,29.79,NA,NA,METAR CYQF 010500Z AUTO 23004KT 9SM CLR 12/11 A2979 RMK SLP097 DENSITY ALT 3500FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYQF,2026-07-01T05:34:00Z,2026-07-01T01:34:00Z,VFR,11,11,100,220,6,9656.06,29.79,NA,NA,SPECI CYQF 010534Z AUTO 22006KT 6SM BR CLR 11/11 A2979 RMK SLP105 DENSITY ALT 3400FT,2026-07-01T05:53:26Z,2026-07-01T01:53:26Z
CYQG,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,27,23,78,230,7,14484.1,29.97,NA,NA,METAR CYQG 010500Z AUTO 23007KT 9SM CLR 27/23 A2997 RMK SLP147 DENSITY ALT 2100FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYQM,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,16,14,87,180,4,19312.13,29.95,NA,FEW  ft; BKN  ft; BKN  ft; BKN  ft,METAR CYQM 010500Z 18004KT 12SM FEW055 BKN110 BKN140 BKN260 16/14 A2995 RMK SC1AC5AC1CS1 SC TR AC TR SLP146,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYQM,2026-07-01T05:24:00Z,2026-07-01T01:24:00Z,VFR,16,13,82,180,6,19312.13,29.94,NA,FEW  ft; FEW  ft; FEW  ft; SCT  ft,SPECI CYQM 010524Z 18006KT 12SM FEW055 FEW110 FEW140 SCT260 16/13 A2994 RMK SC1AC2AC1CS1 SC TR AC TR SLP142,2026-07-01T05:53:37Z,2026-07-01T01:53:37Z
CYQQ,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,15,8,62,340,11,32186.88,30.04,NA,BKN  ft; BKN  ft,METAR CYQQ 010500Z 34011G16KT 20SM BKN058 BKN210 15/08 A3004 RMK SC6CI1 DENSITY ALT 101FT SLP172,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYQR,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,MVFR,15,14,93,270,10,24140.16,29.67,NA,BKN  ft; OVC  ft,METAR CYQR 010500Z 27010KT 15SM -SHRA BKN014 OVC090 15/14 A2967 RMK SC5AC3 CVCTV CLD EMBD SLP057 DENSITY ALT 2600FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYQT,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,14,14,100,NA,2,24140.16,29.69,NA,FEW  ft,METAR CYQT 010500Z VRB02KT 15SM FEW250 14/14 A2969 RMK CI1 SLP058 DENSITY ALT 1000FT,2026-07-01T05:15:38Z,2026-07-01T01:15:38Z
CYQY,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,10,10,100,160,2,24140.16,30.03,NA,NA,METAR CYQY 010500Z 16002KT 15SM SKC 10/10 A3003 RMK SLP171,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYRB,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,LIFR,3,3,100,250,8,402.34,29.57,NA,VV  ft,METAR CYRB 010500Z 25008KT 1/4SM R35/1200V1800FT/D -DZ FG VV002 03/03 A2957 RMK FG8 SLP022,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYRJ,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,21,16,73,210,6,32186.88,29.75,NA,NA,METAR CYRJ 010500Z 21006KT 110V250 20SM SKC 21/16 A2975 RMK SLP075 DENSITY ALT 1700FT,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYRT,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,9,8,93,90,9,24140.16,30.01,NA,FEW  ft; FEW  ft; BKN  ft,METAR CYRT 010500Z 09009KT 15SM FEW005 FEW120 BKN250 09/08 A3001 RMK SC1AC1CI3 SLP168,2026-07-01T05:15:40Z,2026-07-01T01:15:40Z
CYSB,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,LIFR,21,21,100,180,11,4828.03,29.84,NA,OVC  ft,METAR CYSB 010500Z 18011KT 3SM BR OVC002 21/21 A2984 RMK SF8 CIG VRB 001-003 SLP103 DENSITY ALT 2300FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
CYSB,2026-07-01T05:48:00Z,2026-07-01T01:48:00Z,LIFR,21,21,100,210,9,804.67,29.83,NA,VV  ft,SPECI CYSB 010548Z 21009KT 1/2SM R22/4000VP6000FT/D FG VV002 21/21 A2983 RMK FG8 SLP098 DENSITY ALT 2300FT,2026-07-01T05:53:24Z,2026-07-01T01:53:24Z
CYTS,2026-07-01T05:00:00Z,2026-07-01T01:00:00Z,VFR,21,21,100,190,5,9999,29.73,NA,FEW  ft,METAR CYTS 010500Z 19005KT 10SM FEW012 21/21 A2973 RMK SC2 SLP068 DENSITY ALT 2200FT,2026-07-01T05:15:39Z,2026-07-01T01:15:39Z
