icao,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,rh_percent,wind_dir_deg,wind_kts,vis_m,altimeter_hg,conditions,clouds,raw_text,fetched_at_utc,fetched_at_local
CYAM,2026-09-01T05:33:00Z,2026-09-01T01:33:00Z,LIFR,20,20,100,0,0,1609.34,29.88,NA,BKN  ft; BKN  ft; OVC  ft,SPECI CYAM 010533Z 00000KT 1SM R12/2600V4500FT/U BR BKN002 BKN012 OVC033 20/20 A2988 RMK FG2ST4SC1SC1 SLP123 DENSITY ALT 1400FT,2026-09-01T05:39:48Z,2026-09-01T01:39:48Z
CYAM,2026-09-01T07:34:00Z,2026-09-01T03:34:00Z,IFR,19,19,100,NA,2,2414.02,29.89,NA,OVC  ft,SPECI CYAM 010734Z VRB02KT 1 1/2SM BR OVC006 19/19 A2989 RMK FG2ST6 SLP125 DENSITY ALT 1400FT,2026-09-01T07:47:02Z,2026-09-01T03:47:02Z
CYAM,2026-09-01T12:23:00Z,2026-09-01T08:23:00Z,LIFR,19,19,100,230,3,1207.01,29.93,NA,BKN  ft; OVC  ft,SPECI CYAM 011223Z 23003KT 3/4SM R12/3500V4500FT/U BR BKN001 OVC006 19/19 A2993 RMK FG4ST3SC1 SLP137 DENSITY ALT 1300FT,2026-09-01T13:33:08Z,2026-09-01T09:33:08Z
CYAM,2026-09-02T04:11:00Z,2026-09-02T00:11:00Z,IFR,20,20,100,NA,4,3218.69,29.87,NA,SCT  ft; BKN  ft; BKN  ft; OVC  ft,SPECI CYAM 020411Z VRB04KT 2SM -TSRA BR SCT004 BKN011 BKN021CB OVC077 20/20 A2987 RMK FG2SC2SC1CB2AC1 CB NE MOV E OCNL LTGCG NE 12 SLP118 DENSITY ALT 1500FT,2026-09-02T04:16:25Z,2026-09-02T00:16:25Z
CYAM,2026-09-02T04:55:00Z,2026-09-02T00:55:00Z,MVFR,20,19,93,70,2,6437.38,29.87,NA,FEW  ft; BKN  ft; BKN  ft; OVC  ft,SPECI CYAM 020455Z 07002KT 4SM BR FEW005 BKN012 BKN026 OVC110 20/19 A2987 RMK SF1SC5CU1AC1 SLP117 DENSITY ALT 1400FT,2026-09-02T05:06:30Z,2026-09-02T01:06:30Z
CYAM,2026-09-02T09:00:00Z,2026-09-02T05:00:00Z,LIFR,19,19,100,0,0,201.17,29.86,NA,VV  ft,METAR CYAM 020900Z 00000KT 1/8SM R12/1100V1400FT/N FG VV002 19/19 A2986 RMK FG8 VIS VRB 0-1/4 SLP113 DENSITY ALT 1300FT,2026-09-02T09:33:21Z,2026-09-02T05:33:21Z
CYAM,2026-09-02T14:00:00Z,2026-09-02T10:00:00Z,VFR,19,19,100,0,0,19312.13,29.89,NA,FEW  ft; BKN  ft; OVC  ft,METAR CYAM 021400Z 00000KT 12SM FEW021 BKN110 OVC140 19/19 A2989 RMK CU2AC4AC2 OCNL -SHRA PRESFR SLP124 DENSITY ALT 1300FT,2026-09-02T14:25:45Z,2026-09-02T10:25:45Z
CYAM,2026-09-02T23:00:00Z,2026-09-02T19:00:00Z,VFR,22,15,64,320,9,40233.6,29.89,NA,FEW  ft; FEW  ft; SCT  ft,METAR CYAM 022300Z 32009KT 25SM FEW032 FEW120 SCT240 22/15 A2989 RMK CU2AC1CI2 AC TR SLP124 DENSITY ALT 1600FT,2026-09-03T00:07:25Z,2026-09-02T20:07:25Z
CYAM,2026-09-03T04:00:00Z,2026-09-03T00:00:00Z,VFR,13,13,100,290,4,24140.16,29.92,NA,FEW  ft; FEW  ft; BKN  ft; BKN  ft; BKN  ft,METAR CYAM 030400Z 29004KT 15SM R12/4000VP6000FT/D MIFG FEW030 FEW068 BKN090 BKN110 BKN220 13/13 A2992 RMK SC1AC2AC3AC1CI1 SC TR SLP136,2026-09-03T04:13:59Z,2026-09-03T00:13:59Z
CYAM,2026-09-03T08:00:00Z,2026-09-03T04:00:00Z,VFR,14,14,100,0,0,24140.16,29.94,NA,SCT  ft; BKN  ft,METAR CYAM 030800Z 00000KT 15SM MIFG SCT075 BKN100 14/14 A2994 RMK AC3AC2 SLP141,2026-09-03T09:01:10Z,2026-09-03T05:01:10Z
