"icao","observed_utc","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","raw_text","fetched_at_utc"
"CYSB",2025-09-05,"VFR",8,8,100,150,8,24100,29.66,"CYSB 050600Z 15008KT 15SM BKN140 08/08 A2966 RMK AC6 SLP053",2025-09-05 06:43:45.741307
"CYSB",2025-09-04,"VFR",11,6,72,220,9,32200,29.67,"CYSB 042300Z 22009KT 20SM BKN051 BKN250 11/06 A2967 RMK SC5CI1 SLP056",2025-09-04 23:52:49.761765
"CYTS",2025-09-05 06:00:00,"VFR",8,6,87,170,10,24100,29.57,"CYTS 050600Z 17010KT 15SM SCT066 OVC100 08/06 A2957 RMK AC4AC4 SLP023",2025-09-05 06:55:05.20247
"CYTS",2025-09-05,"VFR",8,6,87,170,10,24100,29.57,"CYTS 050600Z 17010KT 15SM SCT066 OVC100 08/06 A2957 RMK AC4AC4 SLP023",2025-09-05 06:43:45.741307
"CYTS",2025-09-04,"VFR",8,6,87,210,6,24100,29.57,"CYTS 042327Z 21006KT 180V240 15SM FEW027 SCT044 OVC076 08/06 A2957 RMK SF2SC2AC4 SLP025",2025-09-04 23:52:49.761765
"CYTZ",2025-09-05 06:00:00,"VFR",12,9,82,110,3,14500,29.79,"CYTZ 050600Z AUTO 11003KT 9SM CLR 12/09 A2979 RMK SLP091",2025-09-05 06:55:05.20247
"CYTZ",2025-09-05,"VFR",12,9,82,110,3,14500,29.79,"CYTZ 050600Z AUTO 11003KT 9SM CLR 12/09 A2979 RMK SLP091",2025-09-05 06:43:45.741307
"CYTZ",2025-09-04,"VFR",18,10,60,230,7,14500,29.71,"CYTZ 042300Z AUTO 23007KT 9SM BKN066 BKN080 18/10 A2971 RMK SLP062 DENSITY ALT 1000FT",2025-09-04 23:52:49.761765
"CYXU",2025-09-05 06:00:00,"VFR",9,7,87,110,3,24100,29.77,"CYXU 050600Z 11003KT 15SM BKN040 09/07 A2977 RMK SC6 SLP086",2025-09-05 06:55:05.20247
"CYXU",2025-09-05,"VFR",9,7,87,110,3,24100,29.77,"CYXU 050600Z 11003KT 15SM BKN040 09/07 A2977 RMK SC6 SLP086",2025-09-05 06:43:45.741307
"CYXU",2025-09-04,"VFR",16,6,52,330,3,24100,29.75,"CYXU 042300Z 33003KT 15SM FEW075 FEW200 16/06 A2975 RMK AC1CI1 CI TR SLP078 DENSITY ALT 1500FT",2025-09-04 23:52:49.761765
"CYYB",2025-09-05 06:00:00,"VFR",9,8,94,140,5,14500,29.72,"CYYB 050600Z AUTO 14005KT 9SM BKN043 BKN060 OVC080 09/08 A2972 RMK SLP073",2025-09-05 06:55:05.20247
"CYYB",2025-09-05,"VFR",9,8,94,140,5,14500,29.72,"CYYB 050600Z AUTO 14005KT 9SM BKN043 BKN060 OVC080 09/08 A2972 RMK SLP073",2025-09-05 06:43:45.741307
"CYYB",2025-09-04,"VFR",12,5,63,220,11,48300,29.67,"CYYB 042300Z 22011G17KT 30SM SCT040 BKN260 12/05 A2967 RMK SC4CI1 SLP056 DENSITY ALT 1500FT",2025-09-04 23:52:49.761765
"CYYZ",2025-09-05 06:00:00,"VFR",13,6,63,170,3,24100,29.79,"CYYZ 050600Z 17003KT 15SM FEW075 SCT250 13/06 A2979 RMK AC1CI2 SLP091",2025-09-05 06:55:05.20247
"CYYZ",2025-09-05,"VFR",13,6,63,170,3,24100,29.79,"CYYZ 050600Z 17003KT 15SM FEW075 SCT250 13/06 A2979 RMK AC1CI2 SLP091",2025-09-05 06:43:45.741307
"CYYZ",2025-09-04,"VFR",18,6,46,280,12,24100,29.72,"CYYZ 042300Z 28012KT 15SM FEW056 FEW065 SCT250 18/06 A2972 RMK CU2SC1CI1 SC TR SLP064 DENSITY ALT 1300FT",2025-09-04 23:52:49.761765
