icao,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,rh_percent,wind_dir_deg,wind_kts,vis_m,altimeter_hg,conditions,clouds,raw_text,fetched_at_utc,fetched_at_local
CYAM,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,MVFR,20,19,93,290,7,19312.13,29.93,NA,FEW  ft; SCT  ft; BKN  ft; OVC  ft,METAR CYAM 010400Z 29007KT 12SM FEW004 SCT008 BKN014 OVC022 20/19 A2993 RMK SF1SC2SC3SC2 SLP138 DENSITY ALT 1400FT,2026-08-01T04:09:52Z,2026-08-01T00:09:52Z
CYAT,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,IFR,11,11,100,50,2,14484.1,30.01,NA,BKN  ft,METAR CYAT 010400Z AUTO 05002KT 9SM BKN006 11/11 A3001 RMK SLP164,2026-08-01T04:09:52Z,2026-08-01T00:09:52Z
CYBC,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,13,13,100,0,0,14484.1,29.93,NA,NA,METAR CYBC 010400Z AUTO 00000KT 9SM CLR 13/13 A2993 RMK SLP137,2026-08-01T04:09:54Z,2026-08-01T00:09:54Z
CYBK,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,11,9,87,210,3,40233.6,29.89,NA,FEW  ft; FEW  ft; FEW  ft,METAR CYBK 010400Z 21003KT 25SM FEW037 FEW080 FEW220 11/09 A2989 RMK SC1AC1CI1 SC TR AC TR CI TR SLP124,2026-08-01T04:09:54Z,2026-08-01T00:09:54Z
CYBR,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,MVFR,19,17,88,50,10,8046.72,30.11,NA,NA,METAR CYBR 010400Z AUTO 05010KT 5SM BR CLR 19/17 A3011 RMK SLP202 DENSITY ALT 1900FT,2026-08-01T04:09:53Z,2026-08-01T00:09:53Z
CYCO,NA,2026-07-31T20:00:00Z,VFR,13,5,58,110,7,24140.16,29.92,NA,FEW  ft; FEW  ft; BKN  ft,METAR CYCO 010000Z 11007KT 15SM FEW025 FEW041 BKN250 13/05 A2992 RMK CU1SC1CI3 SLP135,2026-08-01T04:09:55Z,2026-08-01T00:09:55Z
CYEG,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,19,18,93,130,6,24140.16,30.02,NA,SCT  ft,METAR CYEG 010400Z 13006KT 060V150 15SM SCT080 19/18 A3002 RMK FU3 SLP167 DENSITY ALT 3400FT,2026-08-01T04:09:53Z,2026-08-01T00:09:53Z
CYER,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,13,13,100,200,5,14484.1,29.99,NA,BKN  ft; OVC  ft,METAR CYER 010400Z AUTO 20005KT 9SM BKN081 OVC240 13/13 A2999 RMK SLP158,2026-08-01T04:09:52Z,2026-08-01T00:09:52Z
CYFB,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,LIFR,5,4,93,120,8,24140.16,29.66,NA,BKN  ft,METAR CYFB 010400Z 12008KT 15SM -RA BKN004 05/04 A2966 RMK ST7 SLP047,2026-08-01T04:09:54Z,2026-08-01T00:09:54Z
CYFC,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,MVFR,17,15,88,360,5,14484.1,29.89,NA,FEW  ft; BKN  ft; OVC  ft,METAR CYFC 010400Z AUTO 36005KT 9SM FEW013 BKN019 OVC023 17/15 A2989 RMK SLP123 DENSITY ALT 400FT,2026-08-01T04:09:54Z,2026-08-01T00:09:54Z
CYGK,2026-08-01T03:00:00Z,2026-07-31T23:00:00Z,VFR,22,19,83,190,6,24140.16,29.92,NA,FEW  ft,METAR CYGK 010300Z 19006KT 15SM FEW250 22/19 A2992 RMK CI2 LAST STFD OBS / NXT 011000Z SLP134 DENSITY ALT 1200FT,2026-08-01T04:09:52Z,2026-08-01T00:09:52Z
CYHU,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,22,19,83,170,4,14484.1,29.89,NA,SCT  ft; BKN  ft,METAR CYHU 010400Z AUTO 17004KT 9SM SCT066 BKN100 22/19 A2989 RMK SLP123 DENSITY ALT 1000FT,2026-08-01T04:09:54Z,2026-08-01T00:09:54Z
CYHZ,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,LIFR,19,19,100,360,8,1609.34,29.83,NA,OVC  ft,METAR CYHZ 010400Z 36008KT 1SM R14/P6000FT/D R23/P6000FT/D -DZ BR OVC002 19/19 A2983 RMK ST8 SLP103 DENSITY ALT 1200FT,2026-08-01T04:09:54Z,2026-08-01T00:09:54Z
CYLW,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,24,8,35,0,0,9656.06,29.88,NA,NA,METAR CYLW 010400Z AUTO 00000KT 6SM HZ CLR 24/08 A2988 RMK SLP111 DENSITY ALT 2900FT,2026-08-01T04:09:53Z,2026-08-01T00:09:53Z
CYMM,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,19,15,77,110,7,14484.1,29.97,NA,FEW  ft,METAR CYMM 010400Z AUTO 11007KT 9SM FEW076 19/15 A2997 RMK SLP158 DENSITY ALT 1900FT,2026-08-01T04:09:53Z,2026-08-01T00:09:53Z
CYMO,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,METAR CYMO 010400Z AUTO /////KT RMK WIND MISG CLD MISG WX MISG VIS MISG PCPN MISG PRES MISG T MISG DP MISG ICE MISG DENSITY ALT MISG,2026-08-01T04:09:52Z,2026-08-01T00:09:52Z
CYOW,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,20,16,77,170,5,24140.16,29.89,NA,FEW  ft,METAR CYOW 010400Z 17005KT 15SM FEW071 20/16 A2989 RMK AC2 SLP122 DENSITY ALT 1100FT,2026-08-01T04:09:52Z,2026-08-01T00:09:52Z
CYPL,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,17,13,77,30,5,14484.1,30.07,NA,SCT  ft; OVC  ft,METAR CYPL 010400Z AUTO 03005KT 340V080 9SM SCT048 OVC060 17/13 A3007 RMK SLP189 DENSITY ALT 1600FT,2026-08-01T04:09:52Z,2026-08-01T00:09:52Z
CYQA,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,19,18,93,0,0,14484.1,29.91,NA,FEW  ft,METAR CYQA 010400Z AUTO 00000KT 9SM FEW050 19/18 A2991 RMK SLP129 DENSITY ALT 1600FT,2026-08-01T04:09:53Z,2026-08-01T00:09:53Z
CYQB,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,18,15,82,70,8,24140.16,29.93,NA,FEW  ft; SCT  ft; SCT  ft,METAR CYQB 010400Z 07008KT 15SM FEW050 SCT062 SCT230 18/15 A2993 RMK SC2SC1CI1 CI TR SLP137 DENSITY ALT 700FT,2026-08-01T04:09:54Z,2026-08-01T00:09:54Z
CYQF,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,18,14,77,90,5,14484.1,30.04,NA,NA,METAR CYQF 010400Z AUTO 09005KT 9SM CLR 18/14 A3004 RMK SLP177 DENSITY ALT 3900FT,2026-08-01T04:09:53Z,2026-08-01T00:09:53Z
CYQG,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,24,18,69,NA,2,14484.1,29.91,NA,OVC  ft,METAR CYQG 010400Z AUTO VRB02KT 9SM OVC190 24/18 A2991 RMK SLP125 DENSITY ALT 1900FT,2026-08-01T04:09:53Z,2026-08-01T00:09:53Z
CYQM,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,LIFR,16,16,100,340,7,9999,29.86,NA,BKN  ft; OVC  ft,METAR CYQM 010400Z 34007KT 10SM -DZ BKN004 OVC014 16/16 A2986 RMK ST5SC3 SLP115 DENSITY ALT 500FT,2026-08-01T04:09:54Z,2026-08-01T00:09:54Z
CYQQ,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,17,13,77,330,6,32186.88,29.97,NA,FEW  ft; BKN  ft; BKN  ft; BKN  ft,METAR CYQQ 010400Z 33006KT 20SM FEW055 BKN095 BKN110 BKN140 17/13 A2997 RMK SC1AC4AC2AC1 DENSITY ALT 444FT DIST SH NW SLP150,2026-08-01T04:09:53Z,2026-08-01T00:09:53Z
CYQR,2026-08-01T04:00:00Z,2026-08-01T00:00:00Z,VFR,22,15,64,110,13,24140.16,29.99,NA,FEW  ft,METAR CYQR 010400Z 11013G21KT 15SM FEW120 22/15 A2999 RMK AC1 SLP159 DENSITY ALT 3100FT,2026-08-01T04:09:53Z,2026-08-01T00:09:53Z
