"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYXS",2026-09-01 05:30:00,2026-09-01 01:30:00,"VFR",12,12,100,170,4,14484.1,29.76,NA,"BKN  ft; OVC  ft","SPECI CYXS 010530Z AUTO 17004KT 050V180 9SM -RA BKN081 OVC090 12/12 A2976 RMK LTNG DIST S SLP089 DENSITY ALT 2700FT",2026-09-01 05:39:49.767891,2026-09-01 01:39:49.767891
"CYXT",2026-09-01 05:36:00,2026-09-01 01:36:00,"MVFR",11,11,100,280,8,4828.03,29.67,NA,"SCT  ft; OVC  ft","SPECI CYXT 010536Z 28008KT 3SM -RA BR SCT004 OVC020 11/11 A2967 RMK SF4SC4 SLP053",2026-09-01 05:39:49.867883,2026-09-01 01:39:49.867883
"CYQQ",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",16,11,72,260,2,32186.88,29.8,NA,"BKN  ft; BKN  ft","METAR CYQQ 010500Z 26002KT 20SM BKN150 BKN250 16/11 A2980 RMK AC5CI2 DENSITY ALT 568FT SLP091",2026-09-01 05:39:49.967014,2026-09-01 01:39:49.967014
"CYYC",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",15,6,54,150,5,24140.16,29.91,NA,"FEW  ft","METAR CYYC 010500Z 15005KT 15SM FEW240 15/06 A2991 RMK CI1 SLP130 DENSITY ALT 4500FT",2026-09-01 05:39:50.064218,2026-09-01 01:39:50.064218
"CYEG",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",12,9,81,120,7,32186.88,29.86,NA,"BKN  ft","METAR CYEG 010500Z 12007KT 070V130 20SM BKN250 12/09 A2986 RMK CI7 SLP121 DENSITY ALT 2600FT",2026-09-01 05:39:50.160076,2026-09-01 01:39:50.160076
"CYMM",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",12,8,76,190,8,14484.1,29.79,NA,NA,"METAR CYMM 010500Z AUTO 19008KT 9SM CLR 12/08 A2979 RMK SLP098",2026-09-01 05:39:50.256364,2026-09-01 01:39:50.256364
"CYQF",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",12,6,66,160,4,14484.1,29.89,NA,NA,"METAR CYQF 010500Z AUTO 16004KT 9SM CLR 12/06 A2989 RMK SLP127 DENSITY ALT 3400FT",2026-09-01 05:39:50.350789,2026-09-01 01:39:50.350789
"CYXE",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",11,10,93,260,6,24140.16,29.85,NA,NA,"METAR CYXE 010500Z 26006KT 15SM SKC 11/10 A2985 RMK SLP122",2026-09-01 05:39:50.447378,2026-09-01 01:39:50.447378
"CYQR",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",13,11,87,270,8,24140.16,29.88,NA,NA,"METAR CYQR 010500Z 27008KT 15SM SKC 13/11 A2988 RMK SLP130 DENSITY ALT 2200FT",2026-09-01 05:39:50.546278,2026-09-01 01:39:50.546278
"CYWG",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",15,13,87,240,12,24140.16,29.72,NA,NA,"METAR CYWG 010500Z 24012KT 15SM SKC 15/13 A2972 RMK SLP069 DENSITY ALT 1300FT",2026-09-01 05:39:50.642825,2026-09-01 01:39:50.642825
"CYBR",2026-09-01 05:31:00,2026-09-01 01:31:00,"MVFR",14,13,93,270,8,14484.1,29.78,NA,"BKN  ft","SPECI CYBR 010531Z AUTO 27008KT 9SM BKN016 14/13 A2978 RMK SLP094 DENSITY ALT 1700FT",2026-09-01 05:39:50.743293,2026-09-01 01:39:50.743293
"CYUL",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",19,13,68,100,3,24140.16,30.04,NA,"FEW  ft; BKN  ft","METAR CYUL 010500Z 10003KT 15SM FEW080 BKN240 19/13 A3004 RMK AC1CI4 SLP175 DENSITY ALT 500FT",2026-09-01 05:39:50.839965,2026-09-01 01:39:50.839965
"CYHU",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",15,13,87,140,3,14484.1,30.05,NA,NA,"METAR CYHU 010500Z AUTO 14003KT 9SM CLR 15/13 A3005 RMK SLP177",2026-09-01 05:39:50.938383,2026-09-01 01:39:50.938383
"CYQB",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",11,10,93,40,2,24140.16,30.08,NA,"FEW  ft","METAR CYQB 010500Z 04002KT 15SM FEW230 11/10 A3008 RMK CI1 CI TR SLP190",2026-09-01 05:39:51.044167,2026-09-01 01:39:51.044167
"CYVO",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",15,13,87,0,0,14484.1,30.02,NA,"FEW  ft; BKN  ft; BKN  ft","METAR CYVO 010500Z AUTO 00000KT 9SM FEW200 BKN220 BKN240 15/13 A3002 RMK SLP174",2026-09-01 05:39:51.141747,2026-09-01 01:39:51.141747
"CYUY",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",17,14,82,150,4,24140.16,30,NA,"BKN  ft; OVC  ft","METAR CYUY 010500Z 15004KT 15SM BKN170 OVC260 17/14 A3000 RMK AC7CS1 SLP161 DENSITY ALT 1400FT",2026-09-01 05:39:51.238079,2026-09-01 01:39:51.238079
"CYZV",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",12,4,58,30,5,24140.16,30.08,NA,"BKN  ft","METAR CYZV 010500Z 03005KT 15SM BKN170 12/04 A3008 RMK AC7 SLP188",2026-09-01 05:39:51.33301,2026-09-01 01:39:51.33301
"CYBC",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",9,8,93,NA,2,14484.1,30.07,NA,NA,"METAR CYBC 010500Z AUTO VRB02KT 9SM CLR 09/08 A3007 RMK SLP187",2026-09-01 05:39:51.432311,2026-09-01 01:39:51.432311
"CYRJ",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",10,9,93,260,6,40233.6,30.1,NA,NA,"METAR CYRJ 010500Z 26006KT 25SM SKC 10/09 A3010 RMK SLP198",2026-09-01 05:39:51.535833,2026-09-01 01:39:51.535833
"CYHZ",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",13,12,93,200,6,24140.16,30.04,NA,"FEW  ft; FEW  ft","METAR CYHZ 010500Z 20006KT 15SM FEW047 FEW230 13/12 A3004 RMK SC1CI1 SC TR CI TR SLP177",2026-09-01 05:39:51.641419,2026-09-01 01:39:51.641419
"CYYG",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",12,12,100,130,2,24140.16,30.02,NA,"FEW  ft; SCT  ft","METAR CYYG 010500Z 13002KT 15SM FEW060 SCT250 12/12 A3002 RMK SC2CI1 SLP168",2026-09-01 05:39:51.739565,2026-09-01 01:39:51.739565
"CYQM",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",16,13,82,310,3,24140.16,30.02,NA,"FEW  ft; BKN  ft; BKN  ft; BKN  ft","METAR CYQM 010500Z 31003KT 15SM FEW016 BKN055 BKN074 BKN260 16/13 A3002 RMK CU1SC6AC1CI1 CU TR AC TR CI TR SLP169",2026-09-01 05:39:51.836647,2026-09-01 01:39:51.836647
"CYFC",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",12,11,93,310,3,14484.1,30.04,NA,NA,"METAR CYFC 010500Z AUTO 31003KT 9SM CLR 12/11 A3004 RMK SLP175",2026-09-01 05:39:51.932281,2026-09-01 01:39:51.932281
"CYYT",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",13,8,71,330,7,24140.16,29.82,NA,"SCT  ft; BKN  ft","METAR CYYT 010500Z 33007KT 15SM SCT026 BKN055 13/08 A2982 RMK SC4SC3 SLP100",2026-09-01 05:39:52.040236,2026-09-01 01:39:52.040236
"CYQY",2026-09-01 05:00:00,2026-09-01 01:00:00,"MVFR",14,11,82,270,6,24140.16,30.01,NA,"BKN  ft; OVC  ft","METAR CYQY 010500Z 27006KT 15SM BKN024 OVC038 14/11 A3001 RMK SC6SC2 SLP164",2026-09-01 05:39:52.140476,2026-09-01 01:39:52.140476
