icao,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,rh_percent,wind_dir_deg,wind_kts,vis_m,altimeter_hg,conditions,clouds,raw_text,fetched_at_utc,fetched_at_local
CYAM,2026-06-01T05:00:00Z,2026-06-01T01:00:00Z,VFR,8,5,81,270,4,24140.16,30.05,NA,FEW  ft,METAR CYAM 010500Z 27004KT 15SM FEW120 08/05 A3005 RMK AS1 SLP180,2026-06-01T05:33:48Z,2026-06-01T01:33:48Z
CYAM,2026-06-01T12:00:00Z,2026-06-01T08:00:00Z,VFR,13,6,62,80,6,19312.13,30.12,NA,FEW  ft,METAR CYAM 011200Z 08006KT 12SM FEW250 13/06 A3012 RMK CI1 CI TR HZ SLP205,2026-06-01T12:50:40Z,2026-06-01T08:50:40Z
CYAM,NA,2026-06-01T20:00:00Z,VFR,19,5,39,280,4,40233.6,30.21,NA,FEW  ft; FEW  ft,METAR CYAM 020000Z CCA 28004KT 250V320 25SM FEW060 FEW250 19/05 A3021 RMK CU1CI1 CU TR CI TR SLP235 DENSITY ALT 1000FT,2026-06-02T00:27:06Z,2026-06-01T20:27:06Z
CYAT,2026-06-01T05:00:00Z,2026-06-01T01:00:00Z,VFR,3,2,93,50,5,14484.1,30.26,NA,NA,METAR CYAT 010500Z AUTO 05005KT 9SM CLR 03/02 A3026 RMK SLP251,2026-06-01T05:33:48Z,2026-06-01T01:33:48Z
CYAT,2026-06-01T12:00:00Z,2026-06-01T08:00:00Z,VFR,5,2,80,70,8,14484.1,30.34,NA,NA,METAR CYAT 011200Z AUTO 07008KT 9SM CLR 05/02 A3034 RMK SLP276,2026-06-01T12:50:40Z,2026-06-01T08:50:40Z
CYAT,2026-06-01T23:00:00Z,2026-06-01T19:00:00Z,VFR,13,5,58,80,8,14484.1,30.36,NA,NA,METAR CYAT 012300Z AUTO 08008KT 9SM CLR 13/05 A3036 RMK SLP283,2026-06-02T00:27:06Z,2026-06-01T20:27:06Z
CYBC,2026-06-01T05:00:00Z,2026-06-01T01:00:00Z,VFR,8,3,70,290,2,14484.1,29.98,NA,SCT  ft; BKN  ft; OVC  ft,METAR CYBC 010500Z AUTO 29002KT 9SM SCT076 BKN100 OVC140 08/03 A2998 RMK SLP156,2026-06-01T05:33:52Z,2026-06-01T01:33:52Z
CYBC,2026-06-01T12:00:00Z,2026-06-01T08:00:00Z,VFR,12,5,62,230,7,14484.1,29.99,NA,NA,METAR CYBC 011200Z AUTO 23007KT 9SM CLR 12/05 A2999 RMK SLP160,2026-06-01T12:50:41Z,2026-06-01T08:50:41Z
CYBC,2026-06-01T23:00:00Z,2026-06-01T19:00:00Z,VFR,13,8,71,120,4,14484.1,29.98,NA,NA,METAR CYBC 012300Z AUTO 12004KT 9SM CLR 13/08 A2998 RMK SLP155,2026-06-02T00:27:07Z,2026-06-01T20:27:07Z
CYBK,2026-06-01T05:00:00Z,2026-06-01T01:00:00Z,VFR,5,2,80,340,10,32186.88,30.35,NA,FEW  ft; SCT  ft; BKN  ft,METAR CYBK 010500Z 34010KT 20SM FEW045 SCT080 BKN220 05/02 A3035 RMK SC2AC2CI1 SLP282,2026-06-01T05:33:53Z,2026-06-01T01:33:53Z
CYBK,2026-06-01T12:00:00Z,2026-06-01T08:00:00Z,MVFR,4,2,86,320,4,9999,30.33,NA,FEW  ft; BKN  ft; OVC  ft,METAR CYBK 011200Z 32004KT 310V040 10SM -RA FEW010 BKN015 OVC080 04/02 A3033 RMK SC1SC6AC1 SLP275,2026-06-01T12:50:42Z,2026-06-01T08:50:42Z
CYBK,2026-06-01T23:37:00Z,2026-06-01T19:37:00Z,MVFR,4,4,100,350,14,24140.16,30.24,NA,BKN  ft; OVC  ft,SPECI CYBK 012337Z 35014KT 15SM BKN010 OVC040 04/04 A3024 RMK ST6SC2 PRESRR SLP244,2026-06-02T00:27:07Z,2026-06-01T20:27:07Z
CYBR,2026-06-01T05:04:00Z,2026-06-01T01:04:00Z,VFR,18,14,77,90,6,14484.1,29.96,NA,OVC  ft,SPECI CYBR 010504Z AUTO 09006KT 9SM -RA OVC096 18/14 A2996 RMK SLP153 DENSITY ALT 2000FT,2026-06-01T05:33:51Z,2026-06-01T01:33:51Z
CYBR,2026-06-01T12:00:00Z,2026-06-01T08:00:00Z,MVFR,17,16,93,100,6,9656.06,29.97,NA,BKN  ft; OVC  ft,METAR CYBR 011200Z 10006KT 6SM -SHRA BR BKN012 OVC021 17/16 A2997 RMK SC7SC1 CVCTV CLD EMBD SLP155 DENSITY ALT 1800FT,2026-06-01T12:50:41Z,2026-06-01T08:50:41Z
CYBR,2026-06-01T23:00:00Z,2026-06-01T19:00:00Z,VFR,22,10,46,220,8,24140.16,30.1,NA,FEW  ft; SCT  ft,METAR CYBR 012300Z 22008G22KT 15SM FEW035 SCT240 22/10 A3010 RMK SC1CI2 SLP197 DENSITY ALT 2300FT,2026-06-02T00:27:07Z,2026-06-01T20:27:07Z
CYCO,2026-06-01T05:00:00Z,2026-06-01T01:00:00Z,VFR,1,-2,80,80,5,24140.16,30.31,NA,BKN  ft; BKN  ft,METAR CYCO 010500Z 08005KT 030V100 15SM BKN050 BKN070 01/M02 A3031 RMK SC5ACC1 PRESRR SLP269,2026-06-01T05:33:53Z,2026-06-01T01:33:53Z
