icao,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,rh_percent,wind_dir_deg,wind_kts,vis_m,altimeter_hg,conditions,clouds,raw_text,fetched_at_utc,fetched_at_local
CYVV,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,IFR,-2,-3,92,10,5,9656.06,30.18,NA,OVC  ft,METAR CYVV 011100Z 01005KT 320V050 6SM BR OVC009 M02/M03 A3018 RMK SF8 FROIN PRESRR SLP232,2026-04-01T11:11:22Z,2026-04-01T07:11:22Z
CYWG,2026-04-01T05:00:00Z,2026-04-01T01:00:00Z,VFR,-7,-9,85,260,4,24140.16,30.32,NA,NA,METAR CYWG 010500Z 26004KT 15SM SKC M07/M09 A3032 RMK SLP286,2026-04-01T06:05:54Z,2026-04-01T02:05:54Z
CYWG,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,VFR,-9,-10,92,290,2,24140.16,30.32,NA,NA,METAR CYWG 010700Z 29002KT 15SM SKC M09/M10 A3032 RMK SLP286,2026-04-01T07:51:28Z,2026-04-01T03:51:28Z
CYWG,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,VFR,-10,-10,100,340,2,24140.16,30.3,NA,FEW  ft,METAR CYWG 010900Z 34002KT 15SM FEW200 M10/M10 A3030 RMK CI1 CI TR SLP281,2026-04-01T09:23:01Z,2026-04-01T05:23:01Z
CYWG,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,VFR,-9,-10,92,90,3,24140.16,30.29,NA,FEW  ft,METAR CYWG 011100Z 09003KT 15SM FEW190 M09/M10 A3029 RMK AS1 AS TR SLP277,2026-04-01T11:11:23Z,2026-04-01T07:11:23Z
CYXE,2026-04-01T05:00:00Z,2026-04-01T01:00:00Z,VFR,-6,-9,79,140,9,24140.16,30.06,NA,BKN  ft,METAR CYXE 010500Z 14009KT 15SM BKN086 M06/M09 A3006 RMK AC6 SLP217,2026-04-01T06:05:53Z,2026-04-01T02:05:53Z
CYXE,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,VFR,-8,-11,79,120,8,24140.16,30.03,NA,SCT  ft,METAR CYXE 010700Z 12008KT 15SM SCT230 M08/M11 A3003 RMK CI4 SLP205,2026-04-01T07:51:28Z,2026-04-01T03:51:28Z
CYXE,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,VFR,-9,-11,85,120,7,24140.16,29.99,NA,FEW  ft; BKN  ft,METAR CYXE 010900Z 12007KT 15SM FEW120 BKN230 M09/M11 A2999 RMK AC2CI3 SLP190,2026-04-01T09:23:01Z,2026-04-01T05:23:01Z
CYXE,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,VFR,-9,-12,78,120,9,24140.16,29.96,NA,SCT  ft; BKN  ft,METAR CYXE 011100Z 12009KT 15SM SCT065 BKN230 M09/M12 A2996 RMK SC3CI2 SLP181,2026-04-01T11:11:23Z,2026-04-01T07:11:23Z
CYXS,2026-04-01T05:00:00Z,2026-04-01T01:00:00Z,VFR,-2,-7,68,360,6,14484.1,29.66,NA,NA,METAR CYXS 010500Z AUTO 36006KT 9SM CLR M02/M07 A2966 RMK SLP081,2026-04-01T06:05:53Z,2026-04-01T02:05:53Z
CYXS,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,VFR,-3,-7,73,350,9,14484.1,29.63,NA,FEW  ft,METAR CYXS 010700Z AUTO 35009KT 9SM FEW091 M03/M07 A2963 RMK SLP069,2026-04-01T07:51:27Z,2026-04-01T03:51:27Z
CYXS,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,VFR,-3,-6,79,350,9,14484.1,29.6,NA,OVC  ft,METAR CYXS 010900Z AUTO 35009KT 9SM OVC096 M03/M06 A2960 RMK SLP056,2026-04-01T09:23:01Z,2026-04-01T05:23:01Z
CYXS,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,VFR,-3,-6,79,350,10,14484.1,29.57,NA,SCT  ft; OVC  ft,METAR CYXS 011100Z AUTO 35010KT 9SM SCT091 OVC110 M03/M06 A2957 RMK SLP046,2026-04-01T11:11:23Z,2026-04-01T07:11:23Z
CYXT,2026-04-01T05:00:00Z,2026-04-01T01:00:00Z,VFR,3,-5,55,40,8,32186.88,29.65,NA,SCT  ft; BKN  ft,METAR CYXT 010500Z 04008KT 20SM SCT080 BKN210 03/M05 A2965 RMK AC4CI2 SLP052,2026-04-01T06:05:53Z,2026-04-01T02:05:53Z
CYXT,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,VFR,2,-4,64,10,9,32186.88,29.64,NA,BKN  ft,METAR CYXT 010700Z 01009G15KT 20SM BKN080 02/M04 A2964 RMK AC7 SLP047,2026-04-01T07:51:27Z,2026-04-01T03:51:27Z
CYXT,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,VFR,1,-5,64,10,14,32186.88,29.62,NA,FEW  ft; SCT  ft; BKN  ft,METAR CYXT 010900Z 01014KT 20SM FEW060 SCT110 BKN150 01/M05 A2962 RMK SC1AC3AC2 SC TR SLP041,2026-04-01T09:23:01Z,2026-04-01T05:23:01Z
CYXT,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,VFR,1,-5,64,20,17,32186.88,29.59,NA,OVC  ft,METAR CYXT 011100Z 02017G22KT 20SM OVC070 01/M05 A2959 RMK AC8 SLP031,2026-04-01T11:11:23Z,2026-04-01T07:11:23Z
CYXY,2026-04-01T05:00:00Z,2026-04-01T01:00:00Z,VFR,-4,-11,58,280,5,24140.16,29.73,NA,BKN  ft; BKN  ft,METAR CYXY 010500Z 28005KT 15SM BKN059 BKN083 M04/M11 A2973 RMK SC5AC2 SLP126,2026-04-01T06:05:54Z,2026-04-01T02:05:54Z
CYXY,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,VFR,-6,-12,62,300,5,24140.16,29.75,NA,OVC  ft,METAR CYXY 010700Z 30005KT 15SM OVC063 M06/M12 A2975 RMK SC8 SLP129,2026-04-01T07:51:29Z,2026-04-01T03:51:29Z
CYXY,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,VFR,-7,-13,62,280,6,24140.16,29.77,NA,SCT  ft; BKN  ft,METAR CYXY 010900Z 28006KT 15SM SCT062 BKN160 M07/M13 A2977 RMK SC4AC1 SLP131,2026-04-01T09:23:02Z,2026-04-01T05:23:02Z
CYXY,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,VFR,-8,-13,67,290,5,24140.16,29.79,NA,BKN  ft; OVC  ft,METAR CYXY 011100Z 29005KT 15SM BKN067 OVC083 M08/M13 A2979 RMK AC6AC2 SLP134,2026-04-01T11:11:23Z,2026-04-01T07:11:23Z
CYYB,2026-04-01T06:01:00Z,2026-04-01T02:01:00Z,IFR,-4,-5,92,340,10,4828.03,29.94,NA,OVC  ft,SPECI CYYB 010601Z AUTO 34010KT 3SM -SN OVC005 M04/M05 A2994 RMK ICE PAST HR RVR MISG SLP161,2026-04-01T06:05:53Z,2026-04-01T02:05:53Z
CYYB,2026-04-01T07:28:00Z,2026-04-01T03:28:00Z,IFR,-5,-6,92,360,9,4828.03,29.98,NA,OVC  ft,SPECI CYYB 010728Z AUTO 36009G18KT 3SM BR OVC007 M05/M06 A2998 RMK ICE RVR MISG SLP177,2026-04-01T07:51:26Z,2026-04-01T03:51:26Z
CYYB,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,IFR,-7,-8,92,360,11,12874.75,30.04,NA,OVC  ft,METAR CYYB 010900Z AUTO 36011G21KT 8SM OVC007 M07/M08 A3004 RMK ICE RVR MISG SLP195,2026-04-01T09:23:01Z,2026-04-01T05:23:01Z
CYYB,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,IFR,-7,-8,92,350,7,32186.88,30.14,NA,OVC  ft,METAR CYYB 011100Z 35007KT 330V040 20SM OVC005 M07/M08 A3014 RMK SF8 SLP229,2026-04-01T11:11:22Z,2026-04-01T07:11:22Z
CYYC,2026-04-01T04:00:00Z,2026-04-01T00:00:00Z,VFR,-3,-6,79,NA,2,24140.16,29.77,NA,BKN  ft,METAR CYYC 010400Z VRB02KT 15SM BKN150 M03/M06 A2977 RMK AC5 SLP143,2026-04-01T06:05:53Z,2026-04-01T02:05:53Z
CYYC,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,VFR,-7,-9,85,330,5,24140.16,29.74,NA,FEW  ft; SCT  ft,METAR CYYC 010700Z 33005KT 15SM FEW180 SCT250 M07/M09 A2974 RMK AC2CI1 SLP132,2026-04-01T07:51:27Z,2026-04-01T03:51:27Z
CYYC,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,VFR,-10,-12,85,350,3,24140.16,29.72,NA,NA,METAR CYYC 010900Z 35003KT 350V050 15SM SKC M10/M12 A2972 RMK SLP128,2026-04-01T09:23:01Z,2026-04-01T05:23:01Z
CYYC,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,VFR,-9,-11,85,0,0,24140.16,29.71,NA,BKN  ft,METAR CYYC 011100Z 00000KT 15SM BKN250 M09/M11 A2971 RMK CI5 SLP120,2026-04-01T11:11:23Z,2026-04-01T07:11:23Z
CYYG,2026-04-01T05:19:00Z,2026-04-01T01:19:00Z,LIFR,-2,-2,100,100,10,4023.36,29.99,NA,OVC  ft,SPECI CYYG 010519Z 10010KT 2 1/2SM -FZRA BR OVC003 M02/M02 A2999 RMK ST8 ICE ON INDCTR PRESFR SLP161,2026-04-01T06:05:54Z,2026-04-01T02:05:54Z
CYYG,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,LIFR,-1,-1,100,60,10,4828.03,29.97,NA,OVC  ft,METAR CYYG 010700Z 06010G15KT 3SM -FZRA BR OVC004 M01/M01 A2997 RMK ST8 SLP155,2026-04-01T07:51:29Z,2026-04-01T03:51:29Z
CYYG,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,IFR,-2,-2,100,60,11,4023.36,29.94,NA,BKN  ft; OVC  ft,METAR CYYG 010900Z CCA 06011KT 2 1/2SM -FZRA -PL BR BKN006 OVC030 M02/M02 A2994 RMK SF6NS2 SLP143,2026-04-01T09:23:02Z,2026-04-01T05:23:02Z
CYYG,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,IFR,-1,-2,92,60,8,4828.03,29.95,NA,OVC  ft,METAR CYYG 011100Z 06008KT 3SM -FZRA -SN BR OVC006 M01/M02 A2995 RMK SF8 SLP146,2026-04-01T11:11:23Z,2026-04-01T07:11:23Z
CYYJ,2026-04-01T05:00:00Z,2026-04-01T01:00:00Z,VFR,7,1,65,0,0,48280.32,29.66,NA,OVC  ft,METAR CYYJ 010500Z 00000KT 30SM OVC120 07/01 A2966 RMK AC8 SLP045,2026-04-01T06:05:53Z,2026-04-01T02:05:53Z
CYYJ,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,VFR,7,3,75,290,7,48280.32,29.63,NA,OVC  ft,METAR CYYJ 010700Z 29007KT 30SM OVC077 07/03 A2963 RMK AC8 SLP036,2026-04-01T07:51:27Z,2026-04-01T03:51:27Z
CYYJ,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,VFR,8,3,70,280,10,48280.32,29.61,NA,OVC  ft,METAR CYYJ 010900Z 28010KT 30SM OVC042 08/03 A2961 RMK SC8 SLP028,2026-04-01T09:23:01Z,2026-04-01T05:23:01Z
CYYJ,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,VFR,7,5,87,NA,2,32186.88,29.57,NA,OVC  ft,METAR CYYJ 011100Z VRB02KT 20SM -RA OVC055 07/05 A2957 RMK SC8 SLP016,2026-04-01T11:11:23Z,2026-04-01T07:11:23Z
