icao,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,rh_percent,wind_dir_deg,wind_kts,vis_m,altimeter_hg,conditions,clouds,raw_text,fetched_at_utc,fetched_at_local
CYAM,2026-03-01T05:00:00Z,2026-03-01T00:00:00Z,MVFR,-12,-16,72,350,9,9999,30.36,NA,FEW  ft; BKN  ft; OVC  ft,METAR CYAM 010500Z 35009KT 320V020 10SM -SHSN DRSN FEW017 BKN022 OVC041 M12/M16 A3036 RMK CU2SC5SC1 VIS SE 5 SLP299,2026-03-01T05:24:06Z,2026-03-01T00:24:06Z
CYAM,2026-03-01T06:00:00Z,2026-03-01T01:00:00Z,MVFR,-13,-18,66,10,8,9999,30.37,NA,FEW  ft; BKN  ft; BKN  ft,METAR CYAM 010600Z 01008KT 10SM -SHSN FEW018 BKN030 BKN041 M13/M18 A3037 RMK CU2SC4SC1 SLP304,2026-03-01T07:00:53Z,2026-03-01T02:00:53Z
CYAM,2026-03-01T07:00:00Z,2026-03-01T02:00:00Z,VFR,-14,-19,65,70,5,19312.13,30.4,NA,BKN  ft; BKN  ft,METAR CYAM 010700Z 07005KT 040V110 12SM -SHSN BKN032 BKN041 M14/M19 A3040 RMK SC5SC2 CVCTV CLD EMBD SLP312,2026-03-01T07:41:52Z,2026-03-01T02:41:52Z
CYAT,2026-03-01T05:00:00Z,2026-03-01T00:00:00Z,VFR,-29,-32,75,240,6,14484.1,30.32,NA,NA,METAR CYAT 010500Z AUTO 24006KT 9SM CLR M29/M32 A3032 RMK SLP272,2026-03-01T05:24:05Z,2026-03-01T00:24:05Z
CYAT,2026-03-01T06:00:00Z,2026-03-01T01:00:00Z,VFR,-29,-32,75,240,6,14484.1,30.32,NA,NA,METAR CYAT 010600Z AUTO 24006KT 9SM CLR M29/M32 A3032 RMK SLP269,2026-03-01T07:00:52Z,2026-03-01T02:00:52Z
CYAT,2026-03-01T07:00:00Z,2026-03-01T02:00:00Z,VFR,-28,-32,68,250,7,14484.1,30.32,NA,NA,METAR CYAT 010700Z AUTO 25007KT 9SM CLR M28/M32 A3032 RMK SLP270,2026-03-01T07:41:52Z,2026-03-01T02:41:52Z
CYBC,2026-03-01T05:00:00Z,2026-03-01T00:00:00Z,VFR,-11,-17,61,290,9,14484.1,30.08,NA,BKN  ft; BKN  ft,METAR CYBC 010500Z AUTO 29009G18KT 9SM BKN130 BKN150 M11/M17 A3008 RMK SLP189,2026-03-01T05:24:09Z,2026-03-01T00:24:09Z
CYBC,2026-03-01T06:00:00Z,2026-03-01T01:00:00Z,VFR,-12,-18,60,290,7,14484.1,30.1,NA,SCT  ft; BKN  ft,METAR CYBC 010600Z AUTO 29007KT 9SM SCT031 BKN130 M12/M18 A3010 RMK SLP198,2026-03-01T07:00:55Z,2026-03-01T02:00:55Z
CYBC,2026-03-01T07:00:00Z,2026-03-01T02:00:00Z,MVFR,-14,-20,60,300,8,14484.1,30.13,NA,BKN  ft,METAR CYBC 010700Z AUTO 30008G15KT 9SM BKN029 M14/M20 A3013 RMK SLP207,2026-03-01T07:41:55Z,2026-03-01T02:41:55Z
CYBK,2026-03-01T05:00:00Z,2026-03-01T00:00:00Z,VFR,-34,-38,67,NA,2,24140.16,30.07,NA,FEW  ft,METAR CYBK 010500Z VRB02KT 15SM FEW070 M34/M38 A3007 RMK AC2 SLP190,2026-03-01T05:24:10Z,2026-03-01T00:24:10Z
